T_9,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2011,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 390 082, 269 065, 121 017,  31.0
Kreis 1, 5 550, 3 980, 1 570,  28.3
Rathaus, 3 140, 2 242,  898,  28.6
Hochschulen,  681,  484,  197,  28.9
Lindenhof,  950,  713,  237,  24.9
City,  779,  541,  238,  30.6
Kreis 2, 30 079, 22 042, 8 037,  26.7
Wollishofen, 16 055, 11 968, 4 087,  25.5
Leimbach, 5 340, 4 048, 1 292,  24.2
Enge, 8 684, 6 026, 2 658,  30.6
Kreis 3, 46 943, 33 086, 13 857,  29.5
Alt-Wiedikon, 16 014, 10 879, 5 135,  32.1
Friesenberg, 10 622, 8 436, 2 186,  20.6
Sihlfeld, 20 307, 13 771, 6 536,  32.2
Kreis 4, 27 453, 16 536, 10 917,  39.8
Werd, 4 189, 2 704, 1 485,  35.4
Langstrasse, 10 520, 6 264, 4 256,  40.5
Hard, 12 744, 7 568, 5 176,  40.6
Kreis 5, 12 924, 8 773, 4 151,  32.1
Gewerbeschule, 9 795, 6 476, 3 319,  33.9
Escher Wyss, 3 129, 2 297,  832,  26.6
Kreis 6, 31 556, 23 001, 8 555,  27.1
Unterstrass, 21 240, 15 595, 5 645,  26.6
Oberstrass, 10 316, 7 406, 2 910,  28.2
Kreis 7, 35 616, 26 219, 9 397,  26.4
Fluntern, 7 873, 5 477, 2 396,  30.4
Hottingen, 10 461, 7 437, 3 024,  28.9
Hirslanden, 7 024, 5 284, 1 740,  24.8
Witikon, 10 258, 8 021, 2 237,  21.8
Kreis 8, 15 501, 10 638, 4 863,  31.4
Seefeld, 4 908, 3 209, 1 699,  34.6
Mühlebach, 5 651, 3 933, 1 718,  30.4
Weinegg, 4 942, 3 496, 1 446,  29.3
Kreis 9, 49 813, 33 778, 16 035,  32.2
Albisrieden, 18 432, 13 791, 4 641,  25.2
Altstetten, 31 381, 19 987, 11 394,  36.3
Kreis 10, 37 192, 27 655, 9 537,  25.6
Höngg, 21 323, 16 559, 4 764,  22.3
Wipkingen, 15 869, 11 096, 4 773,  30.1
Kreis 11, 67 945, 44 464, 23 481,  34.6
Affoltern, 24 437, 16 585, 7 852,  32.1
Oerlikon, 21 253, 13 658, 7 595,  35.7
Seebach, 22 255, 14 221, 8 034,  36.1
Kreis 12, 29 510, 18 893, 10 617,  36.0
Saatlen, 7 131, 4 836, 2 295,  32.2
Schwamendingen-Mitte, 10 863, 6 582, 4 281,  39.4
Hirzenbach, 11 516, 7 475, 4 041,  35.1
