T_8,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2012,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 394 012, 270 855, 123 157,  31.3
Kreis 1, 5 571, 3 954, 1 617,  29.0
Rathaus, 3 164, 2 252,  912,  28.8
Hochschulen,  673,  466,  207,  30.8
Lindenhof,  935,  688,  247,  26.4
City,  799,  548,  251,  31.4
Kreis 2, 30 085, 21 943, 8 142,  27.1
Wollishofen, 16 029, 11 896, 4 133,  25.8
Leimbach, 5 354, 4 070, 1 284,  24.0
Enge, 8 702, 5 977, 2 725,  31.3
Kreis 3, 47 926, 33 681, 14 245,  29.7
Alt-Wiedikon, 16 109, 10 908, 5 201,  32.3
Friesenberg, 10 986, 8 683, 2 303,  21.0
Sihlfeld, 20 831, 14 090, 6 741,  32.4
Kreis 4, 27 749, 16 709, 11 040,  39.8
Werd, 4 195, 2 677, 1 518,  36.2
Langstrasse, 10 560, 6 274, 4 286,  40.6
Hard, 12 994, 7 758, 5 236,  40.3
Kreis 5, 13 167, 8 914, 4 253,  32.3
Gewerbeschule, 9 824, 6 499, 3 325,  33.8
Escher Wyss, 3 343, 2 415,  928,  27.8
Kreis 6, 31 750, 22 936, 8 814,  27.8
Unterstrass, 21 442, 15 574, 5 868,  27.4
Oberstrass, 10 308, 7 362, 2 946,  28.6
Kreis 7, 35 603, 26 110, 9 493,  26.7
Fluntern, 7 779, 5 399, 2 380,  30.6
Hottingen, 10 447, 7 433, 3 014,  28.9
Hirslanden, 7 131, 5 338, 1 793,  25.1
Witikon, 10 246, 7 940, 2 306,  22.5
Kreis 8, 15 444, 10 490, 4 954,  32.1
Seefeld, 4 916, 3 164, 1 752,  35.6
Mühlebach, 5 745, 3 927, 1 818,  31.6
Weinegg, 4 783, 3 399, 1 384,  28.9
Kreis 9, 50 437, 34 253, 16 184,  32.1
Albisrieden, 18 999, 14 171, 4 828,  25.4
Altstetten, 31 438, 20 082, 11 356,  36.1
Kreis 10, 37 328, 27 721, 9 607,  25.7
Höngg, 21 537, 16 739, 4 798,  22.3
Wipkingen, 15 791, 10 982, 4 809,  30.5
Kreis 11, 69 496, 45 308, 24 188,  34.8
Affoltern, 24 855, 16 789, 8 066,  32.5
Oerlikon, 21 331, 13 721, 7 610,  35.7
Seebach, 23 310, 14 798, 8 512,  36.5
Kreis 12, 29 456, 18 836, 10 620,  36.1
Saatlen, 7 118, 4 845, 2 273,  31.9
Schwamendingen-Mitte, 10 934, 6 598, 4 336,  39.7
Hirzenbach, 11 404, 7 393, 4 011,  35.2
